id,name,input,compiler,threads,real,usr,sys,cores
132,ferret,simsmall,gcc-pthreads,1,0m0.277s,0m0.359s,0m0.017s,26
133,ferret,simmedium,gcc-pthreads,1,0m0.784s,0m1.245s,0m0.034s,26
134,ferret,simlarge,gcc-pthreads,1,0m3.072s,0m6.855s,0m0.150s,26
135,ferret,native,gcc-pthreads,1,4m51.451,6m20.036,0m2.142s,26
136,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.030s,0m0.002s,27
137,ferret,simsmall,gcc-pthreads,1,0m0.272s,0m0.353s,0m0.020s,27
138,ferret,simmedium,gcc-pthreads,1,0m0.789s,0m1.298s,0m0.046s,27
139,ferret,simlarge,gcc-pthreads,1,0m3.102s,0m6.924s,0m0.146s,27
140,ferret,native,gcc-pthreads,1,4m44.408,6m20.102,0m2.120s,27
141,ferret,simdev,gcc-pthreads,1,0m0.023s,0m0.027s,0m0.007s,28
142,ferret,simsmall,gcc-pthreads,1,0m0.265s,0m0.350s,0m0.009s,28
143,ferret,simmedium,gcc-pthreads,1,0m0.786s,0m1.243s,0m0.059s,28
144,ferret,simlarge,gcc-pthreads,1,0m2.938s,0m6.061s,0m0.132s,28
145,ferret,native,gcc-pthreads,1,4m53.589,6m32.629,0m2.456s,28
146,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.028s,0m0.006s,29
147,ferret,simsmall,gcc-pthreads,1,0m0.257s,0m0.342s,0m0.011s,29
148,ferret,simmedium,gcc-pthreads,1,0m0.784s,0m1.288s,0m0.055s,29
149,ferret,simlarge,gcc-pthreads,1,0m2.950s,0m5.842s,0m0.138s,29
150,ferret,native,gcc-pthreads,1,4m48.056,6m19.614,0m2.649s,29
151,ferret,simdev,gcc-pthreads,1,0m0.022s,0m0.028s,0m0.005s,30
152,ferret,simsmall,gcc-pthreads,1,0m0.276s,0m0.351s,0m0.017s,30
153,ferret,simmedium,gcc-pthreads,1,0m0.724s,0m1.168s,0m0.033s,30
154,ferret,simlarge,gcc-pthreads,1,0m2.996s,0m6.513s,0m0.157s,30
155,ferret,native,gcc-pthreads,1,4m50.235,6m19.836,0m2.305s,30
156,ferret,simdev,gcc-pthreads,1,0m0.024s,0m0.028s,0m0.007s,31
157,ferret,simsmall,gcc-pthreads,1,0m0.258s,0m0.330s,0m0.023s,31
158,ferret,simmedium,gcc-pthreads,1,0m0.742s,0m1.205s,0m0.043s,31
159,ferret,simlarge,gcc-pthreads,1,0m3.090s,0m6.285s,0m0.124s,31
160,ferret,native,gcc-pthreads,1,4m53.551,6m38.701,0m3.118s,31
161,ferret,simdev,gcc-pthreads,1,0m0.027s,0m0.032s,0m0.006s,32
162,ferret,simsmall,gcc-pthreads,1,0m0.268s,0m0.352s,0m0.016s,32
163,ferret,simmedium,gcc-pthreads,1,0m0.737s,0m1.182s,0m0.039s,32
164,ferret,simlarge,gcc-pthreads,1,0m2.980s,0m6.599s,0m0.124s,32
165,ferret,native,gcc-pthreads,1,4m52.942,6m35.044,0m2.423s,32
166,ferret,simdev,gcc-pthreads,2,0m0.067s,0m0.031s,0m0.004s,1
167,ferret,simsmall,gcc-pthreads,2,0m0.421s,0m0.364s,0m0.020s,1
168,ferret,simmedium,gcc-pthreads,2,0m1.393s,0m1.286s,0m0.052s,1
169,ferret,simlarge,gcc-pthreads,2,0m7.364s,0m7.012s,0m0.140s,1
170,ferret,native,gcc-pthreads,2,6m39.425,6m26.109,0m2.600s,1
171,ferret,simdev,gcc-pthreads,2,0m0.119s,0m0.032s,0m0.004s,2
172,ferret,simsmall,gcc-pthreads,2,0m0.301s,0m0.408s,0m0.019s,2
173,ferret,simmedium,gcc-pthreads,2,0m0.925s,0m1.310s,0m0.051s,2
174,ferret,simlarge,gcc-pthreads,2,0m3.827s,0m6.770s,0m0.146s,2
175,ferret,native,gcc-pthreads,2,5m5.042s,6m44.355,0m2.531s,2
176,ferret,simdev,gcc-pthreads,2,0m0.022s,0m0.031s,0m0.003s,3
177,ferret,simsmall,gcc-pthreads,2,0m0.272s,0m0.356s,0m0.017s,3
178,ferret,simmedium,gcc-pthreads,2,0m0.817s,0m1.328s,0m0.062s,3
179,ferret,simlarge,gcc-pthreads,2,0m3.237s,0m7.180s,0m0.119s,3
180,ferret,native,gcc-pthreads,2,4m52.258,6m25.648,0m1.782s,3
181,ferret,simdev,gcc-pthreads,2,0m0.023s,0m0.029s,0m0.005s,4
182,ferret,simsmall,gcc-pthreads,2,0m0.286s,0m0.376s,0m0.017s,4
183,ferret,simmedium,gcc-pthreads,2,0m0.787s,0m1.261s,0m0.056s,4
